accuracy,precision,recall,f1_score,tp,tn,fp,fn,feature_method,model,seed,split_ratio,train_size,test_size,extraction_time,method,feature_size,train_time,def_pred_threshold,pred_time,dataset
0.99722313,0.996478873,0.996040475,0.996259626,2264,3841,8,9,tf-idf_ngram,Perceptron,42,0.2,24487,6122,2.203481307,tf-idf_ngram,29216,0.002080159,0.5,0.000342343,SQLiV3.tsv
0.994609605,0.999108734,0.986361637,0.992694266,2242,3847,2,31,tf-idf_ngram,LogisticRegression,42,0.2,24487,6122,2.203481307,tf-idf_ngram,29216,0.083380228,0.5,0.000332662,SQLiV3.tsv
0.998203202,0.999558304,0.995600528,0.99757549,2263,3848,1,10,tf-idf_ngram,PassiveAggressiveClassifier,42,0.2,24487,6122,2.203481307,tf-idf_ngram,29216,0.005849965,0.5,0.000298396,SQLiV3.tsv
0.997386475,0.999557326,0.993400792,0.99646955,2258,3848,1,15,tf-idf_ngram,OneVsRestClassifier,42,0.2,24487,6122,2.203481307,tf-idf_ngram,29216,0.354794414,0.5,0.00490817,SQLiV3.tsv
0.997386475,0.999557326,0.993400792,0.99646955,2258,3848,1,15,tf-idf_ngram,OneVsOneClassifier,42,0.2,24487,6122,2.203481307,tf-idf_ngram,29216,0.36942448,0.5,0.003425508,SQLiV3.tsv
0.982358706,0.975824176,0.976682798,0.976253298,2220,3794,55,53,tf-idf,MultinomialNB,42,0.2,24487,6122,0.286025522,tf-idf,21019,0.00022612,0.5,0.000125929,SQLiV3.tsv
0.991832734,0.996870809,0.98108227,0.988913525,2230,3842,7,43,tf-idf,XGBoost,42,0.2,24487,6122,0.286025522,tf-idf,21019,0.04557277,0.5,0.001171306,SQLiV3.tsv
0.810682783,0.669095325,0.969643643,0.791808874,2204,2759,1090,69,tf-idf,SVM_RBF,42,0.2,24487,6122,0.286025522,tf-idf,21019,1.831289033,0.5,0.498980735,SQLiV3.tsv
0.920777524,0.832836932,0.984161901,0.902198024,2237,3400,449,36,tf-idf_ngram,MultinomialNB,42,0.2,24487,6122,2.224691903,tf-idf_ngram,29216,0.000688644,0.5,0.000516121,SQLiV3.tsv
0.997386475,0.999557326,0.993400792,0.99646955,2258,3848,1,15,tf-idf_ngram,XGBoost,42,0.2,24487,6122,2.224691903,tf-idf_ngram,29216,0.320356596,0.5,0.001717327,SQLiV3.tsv
0.997059784,0.999556934,0.992520897,0.99602649,2256,3848,1,17,tf-idf_ngram,SVM_RBF,42,0.2,24487,6122,2.224691903,tf-idf_ngram,29216,5.008151303,0.5,2.1129945,SQLiV3.tsv
